kode;judul;enabled
I;LAPORAN MASYARAKAT;TRUE
II;DETEKSI DAN CEGAH DINI;TRUE
III;PEMBINAAN DAN PENYULUHAN;TRUE
IV;SOSIALISASI PERDA/PERKADA;TRUE
IX;PENANGANAN UNJUK RASA DAN KERUSUHAN MASSA;TRUE
V;PATROLI;TRUE
VI;PENGAMANAN;TRUE
VII;PENGAWALAN;TRUE
VIII;PENERTIBAN;TRUE
XII;KERJA BAKTI;TRUE
XIII;SIDANG TIPIRING;TRUE
XIIIV;SOSIALISASI P4GN (NARKOBA);TRUE
XV;APEL;TRUE
XVI;PENERTIBAN BANGUNAN;TRUE
XVI;RAPAT;TRUE
XVII;PENERTIBAN MINUMAN BERALKOHOL;TRUE
XVII;PENGATURAN LALU LINTAS;TRUE
XVIII;KEGIATAN PPKM;TRUE